epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3819,1.41865,2.98063,1.35296,0.64126,0.52577,0.52284,0.25005,1.60028,1.78323,1.56379,0.00056,0.00056,0.00056
2,36.4259,1.275,0.96329,1.30614,0.00088,0.03093,0.00021,5e-05,4.4472,219.039,5.71603,0.00112388,0.00112388,0.00112388
3,51.3935,1.21384,0.76997,1.24303,0.00227,0.35052,0.00156,0.00049,3.35044,inf,32.1338,0.00167135,0.00167135,0.00167135
4,65.2034,1.24379,0.72763,1.27136,0.00123,0.01031,0.00022,9e-05,nan,nan,nan,0.00191514,0.00191514,0.00191514
5,79.15,1.1847,0.6554,1.22282,0.48822,0.58763,0.5355,0.24302,1.94947,1.49873,1.75657,0.00188686,0.00188686,0.00188686
6,92.9454,1.16644,0.60559,1.20983,0.54875,0.52577,0.53476,0.29695,1.80351,1.28375,1.61675,0.00185857,0.00185857,0.00185857
7,107.014,1.10141,0.59087,1.16903,0.66138,0.72165,0.71918,0.43259,1.50552,1.07454,1.52199,0.00183029,0.00183029,0.00183029
8,121.066,1.1369,0.58406,1.1561,0.97685,1,0.99184,0.69549,1.13116,0.50452,1.25472,0.001802,0.001802,0.001802
9,135.078,1.09115,0.56308,1.1623,0.97523,1,0.99241,0.68582,1.18799,0.54522,1.32292,0.00177371,0.00177371,0.00177371
10,149.21,1.0774,0.55546,1.14743,0.98256,0.94845,0.98737,0.66399,1.2043,0.6058,1.33345,0.00174543,0.00174543,0.00174543
11,163.151,1.09747,0.53239,1.15833,0.97577,0.97938,0.97856,0.68815,1.15636,0.51572,1.26766,0.00171714,0.00171714,0.00171714
12,177.627,1.05799,0.53986,1.16283,0.97978,0.99919,0.99303,0.74534,1.03777,0.48586,1.1863,0.00168886,0.00168886,0.00168886
13,192.122,1.08898,0.53652,1.15425,0.9777,1,0.99283,0.75946,1.00669,0.46657,1.1676,0.00166057,0.00166057,0.00166057
14,206.598,1.08715,0.53041,1.15125,0.98953,0.97407,0.9914,0.72925,1.08436,0.48553,1.22183,0.00163229,0.00163229,0.00163229
15,220.821,1.05963,0.52973,1.1529,0.98943,1,0.99276,0.73554,1.06428,0.44533,1.21408,0.001604,0.001604,0.001604
16,234.743,1.06761,0.51896,1.11587,0.98004,1,0.99306,0.75251,0.99333,0.46417,1.14807,0.00157571,0.00157571,0.00157571
17,248.579,1.04211,0.50508,1.12596,0.92203,0.97527,0.98741,0.7145,1.10056,0.52898,1.22982,0.00154743,0.00154743,0.00154743
18,263.164,1.05928,0.50708,1.13912,0.98967,0.98741,0.99347,0.71016,1.10465,0.51071,1.21851,0.00151914,0.00151914,0.00151914
